SA2_MAIN11,SA2_5DIG11,SA2_NAME11,SA3_CODE11,SA3_NAME11,SA4_CODE11,SA4_NAME11,GCC_CODE11,GCC_NAME11,STE_CODE11,STE_NAME11,ALBERS_SQM,Crop_Area_ha
308021193,31193,Agnes Water - Miriam Vale,30802,Gladstone - Biloela,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,3769155171,22
301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,13571772.68,2
306051166,31166,Atherton,30605,Tablelands (East) - Kuranda,306,Cairns,3RQLD,Rest of Qld,3,Queensland,235398968.4,1425
318011460,31460,Ayr,31801,Charters Towers - Ayr - Ingham,318,Townsville,3RQLD,Rest of Qld,3,Queensland,68955740.83,33
306031158,31158,Babinda,30603,Innisfail - Cassowary Coast,306,Cairns,3RQLD,Rest of Qld,3,Queensland,668845310.3,10
307011171,31171,Balonne,30701,Darling Downs (West) - Maranoa,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,31106183678,311
308021194,31194,Banana,30802,Gladstone - Biloela,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,28527048579,105
319011493,31493,Bargara - Burnett Heads,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,143948795.9,857
311011305,31305,Beaudesert,31101,Beaudesert,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,1628498471,42
316061439,31439,Beerwah,31606,Sunshine Coast Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,148223474.6,33
301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,33156227.8,4
311051323,31323,Bethania - Waterford,31105,Loganlea - Carbrook,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,12616387.6,1
301011003,31003,Birkdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,11578727.97,4
316041429,31429,Bli Bli,31604,Nambour - Pomona,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,44769336.8,3
310021277,31277,Boonah,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,2095412749,1654
302031035,31035,Boondall,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,10891937.13,1
311031311,31311,Boronia Heights - Park Ridge,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,31935056.99,23
308031206,31206,Bouldercombe,30803,Rockhampton,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,1338699778,1
312011337,31337,Bowen,31201,Bowen Basin - North,312,Mackay,3RQLD,Rest of Qld,3,Queensland,51048080.63,614
319011494,31494,Branyan - Kensington,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,50402869.36,432
305011105,31105,Brisbane City,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,2223616.215,6
312011338,31338,Broadsound - Nebo,31201,Bowen Basin - North,312,Mackay,3RQLD,Rest of Qld,3,Queensland,27996753764,3
316011413,31413,Buderim - North,31601,Buderim,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,23991360.74,5
319011495,31495,Bundaberg,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,6122127.78,36
319011496,31496,Bundaberg East - Kalkie,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,13744902.49,2
319011497,31497,Bundaberg North - Gooburrum,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,55004539.57,550
319011498,31498,Bundaberg Region - North,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,1273297502,1072
319011499,31499,Bundaberg Region - South,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,2210614387,2726
318011461,31461,Burdekin,31801,Charters Towers - Ayr - Ingham,318,Townsville,3RQLD,Rest of Qld,3,Queensland,4879583398,2530
313041372,31372,Burpengary,31304,Narangba - Burpengary,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,22410254.61,1
319051522,31522,Burrum - Fraser,31905,Maryborough,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,2756779865,8
313021365,31365,Caboolture,31302,Caboolture,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,74460034.09,5
313021366,31366,Caboolture - South,31302,Caboolture,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,13732165.16,4
316061440,31440,Caloundra Hinterland,31606,Sunshine Coast Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,458833371.6,3
315011396,31396,Cape York,31501,Far North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,1.13023E+11,43
311031313,31313,Chambers Flat - Logan Reserve,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,36310328.74,44
