x,y
153.485697,-28.12668201
153.485713,-28.12658201
153.485732,-28.12648701
153.485782,-28.12635151
153.4858435,-28.12624651
153.4859485,-28.12608251
153.4860365,-28.12593951
153.486141,-28.12583751
153.4861865,-28.12582301
153.486198,-28.12583251
153.4862125,-28.12586601
153.486198,-28.12590851
153.486134,-28.12600401
153.4860005,-28.12618251
153.4859365,-28.12632751
153.4859105,-28.12641301
153.485927,-28.12651801
153.4859605,-28.12661051
153.4860245,-28.12669151
153.486079,-28.12675101
153.486153,-28.12680551
153.486222,-28.12690101
153.486267,-28.12700801
153.486298,-28.12712451
153.486365,-28.12730051
153.486453,-28.12742201
153.486579,-28.12752651
153.4867215,-28.12768601
153.486817,-28.12784301
153.486917,-28.12800751
153.487055,-28.12818101
153.4872855,-28.12852151
153.4875095,-28.12891151
153.487833,-28.12954201
153.488009,-28.12990601
153.4882635,-28.13039651
153.4884755,-28.13076751
153.488585,-28.13093901
153.4886325,-28.13104601
153.488685,-28.13115051
153.488749,-28.13122201
153.488837,-28.13132901
153.4889655,-28.13150501
153.489137,-28.13175751
153.489287,-28.13195751
153.4895295,-28.13218801
153.4897175,-28.13231901
153.4898245,-28.13235251
153.489922,-28.13235451
153.4899865,-28.13233101
153.4900745,-28.13228551
153.4901505,-28.13222851
153.4902265,-28.13216451
153.490279,-28.13214051
153.490355,-28.13212401
153.4903815,-28.13207401
153.490398,-28.13202151
153.4904525,-28.13196701
153.4905145,-28.13193101
153.490586,-28.13191901
153.490643,-28.13195251
153.4906715,-28.13203601
153.490686,-28.13214301
153.490667,-28.13220701
153.4906455,-28.13220701
153.4906215,-28.13221901
153.4906145,-28.13225251
153.4906405,-28.13230951
153.490643,-28.13235701
153.4906,-28.13242601
153.4905455,-28.13246651
153.4904885,-28.13250201
153.4904385,-28.13255701
153.49036,-28.13266401
153.4902835,-28.13273301
153.490234,-28.13278551
153.4901955,-28.13289951
153.4902005,-28.13296401
153.490248,-28.13308051
153.49036,-28.13330901
153.4907025,-28.13391551
153.4911025,-28.13455801
153.4914165,-28.13516501
153.4917945,-28.13580001
153.492116,-28.13627851
153.4922835,-28.13659951
153.492356,-28.13685901
153.492506,-28.13705151
153.4926435,-28.13711251
153.493226,-28.13708951
153.493407,-28.13700401
153.493462,-28.13704951
153.4934555,-28.13713751
153.4934195,-28.13720851
153.493327,-28.13729451
153.4932555,-28.13741551
153.493227,-28.13758001
153.493277,-28.13777251
153.493534,-28.13817251
153.493791,-28.13857901
153.495097,-28.14058501
153.496425,-28.14244101
153.4978455,-28.14441851
153.498966,-28.14590301
153.500415,-28.14780901
153.50155,-28.14919401
153.5027065,-28.15035751
153.5034775,-28.15122851
153.5043415,-28.15213501
153.5051695,-28.15291301
153.5062185,-28.15387701
153.5073965,-28.15489051
153.5085745,-28.15582551
153.5093525,-28.15652501
153.5100805,-28.15720351
153.5109085,-28.15791001
153.5117155,-28.15845251
153.512793,-28.15916651
153.513921,-28.15983751
153.51547,-28.16077951
153.5176115,-28.16195051
153.519346,-28.16278551
153.521102,-28.16354951
153.5220445,-28.16380651
153.5226595,-28.16394051
153.5233065,-28.16406601
153.5235205,-28.16413101
153.523688,-28.16425701
153.523795,-28.16440101
153.523837,-28.16460101
153.5237995,-28.16480151
153.523711,-28.16507601
153.5236135,-28.16536001
153.5235435,-28.16553651
153.523556,-28.16562001
153.5236415,-28.16562951
153.523753,-28.16557851
153.523832,-28.16549951
153.5239625,-28.16543901
153.524102,-28.16540651
153.524251,-28.16536451
153.524386,-28.16529951
153.524521,-28.16516901
153.524591,-28.16506651
153.5247255,-28.16497351
153.524963,-28.16495501
153.5252375,-28.16495501
153.525531,-28.16500151
153.52615,-28.16520151
153.52702,-28.16548101
153.5276765,-28.16568351
153.529333,-28.16611201
153.530746,-28.16644051
153.532031,-28.16666151
153.532655,-28.16671851
153.5329835,-28.16670401
153.5331835,-28.16663251
153.5334395,-28.16641201
153.5336515,-28.16629501
153.5339325,-28.16613601
153.5342465,-28.16597151
153.5344655,-28.16586451
153.5345985,-28.16580751
153.5348105,-28.16572901
153.535003,-28.16567901
153.5351365,-28.16568151
153.5353005,-28.16568151
153.535493,-28.16563151
153.5358715,-28.16543851
153.536864,-28.16476751
153.536935,-28.16483201
153.5363,-28.16529601
153.5363215,-28.16542451
153.5366425,-28.16559551
153.5374205,-28.16589551
153.538584,-28.16625251
153.5397835,-28.16651651
153.541168,-28.16673051
153.5424175,-28.16665951
153.543417,-28.16639501
153.5437905,-28.16615251
153.543831,-28.16603101
153.543812,-28.16594051
153.543795,-28.16585501
153.5438,-28.16574101
153.5438285,-28.16564801
153.5438665,-28.16556951
153.5439215,-28.16548851
153.5439975,-28.16540301
153.5440595,-28.16533401
153.5441475,-28.16522201
153.5442665,-28.16505801
153.544359,-28.16490551
153.544397,-28.16482451
153.5444615,-28.16470551
153.544571,-28.16459851
153.544711,-28.16446951
153.5448165,-28.16442351
153.5449115,-28.16440551
153.54503,-28.16441301
153.5452105,-28.16445151
153.545535,-28.16448501
153.545831,-28.16448001
153.5461605,-28.16443901
153.5464385,-28.16439401
153.5469385,-28.16428951
153.5473975,-28.16417251
153.5477045,-28.16399901
153.548114,-28.16370401
153.5482565,-28.16355651
153.5483235,-28.16340401
153.5483685,-28.16325651
153.5483755,-28.16315451
153.548354,-28.16306651
153.548314,-28.16302101
153.548285,-28.16298751
153.548252,-28.16290901
153.548264,-28.16286901
153.548285,-28.16285201
153.5483185,-28.16288551
153.54839,-28.16291851
153.54844,-28.16292851
153.5485185,-28.16294501
153.5485805,-28.16295701
153.548666,-28.16296651
153.5487945,-28.16299001
153.548956,-28.16298301
153.549075,-28.16296401
153.549249,-28.16292351
153.549382,-28.16288301
153.549439,-28.16285701
153.5494655,-28.16281651
153.549487,-28.16278801
153.5495155,-28.16274051
153.549558,-28.16268551
153.549589,-28.16263101
153.549601,-28.16259501
153.549587,-28.16256401
153.5495605,-28.16252151
153.549544,-28.16246651
153.54952,-28.16240701
153.5495155,-28.16233351
153.5495225,-28.16229551
153.5495345,-28.16223801
153.5495605,-28.16221201
153.5495845,-28.16221901
153.54962,-28.16227651
153.5496465,-28.16232651
153.549682,-28.16233801
153.5496915,-28.16230251
153.5496725,-28.16225501
153.5496675,-28.16218601
153.549696,-28.16212651
153.5497555,-28.16213101
153.549796,-28.16217651
153.54982,-28.16224751
153.549846,-28.16231651
153.5498915,-28.16240951
153.5499245,-28.16247601
153.5499605,-28.16251651
153.550016,-28.16250451
153.550008,-28.16247401
153.549991,-28.16242101
153.549972,-28.16237851
153.5499605,-28.16232651
153.549977,-28.16230951
153.5500015,-28.16229851
153.550008,-28.16227401
153.5499865,-28.16221451
153.5499435,-28.16213601
153.54992,-28.16207901
153.54987,-28.16199801
153.549827,-28.16193601
153.5497915,-28.16186951
153.5497745,-28.16180051
153.54977,-28.16172401
153.5497485,-28.16167201
153.5497495,-28.16163251
153.5497705,-28.16162401
153.5498015,-28.16167001
153.549839,-28.16168651
153.5498805,-28.16167601
153.549934,-28.16168401
153.5499915,-28.16170501
153.5500435,-28.16174801
153.5500745,-28.16181251
153.550065,-28.16184101
153.5500365,-28.16184301
153.550008,-28.16179551
153.549972,-28.16176001
153.5499435,-28.16176451
153.549927,-28.16179801
153.549927,-28.16184801
153.5499625,-28.16194801
153.550003,-28.16202651
153.550039,-28.16209301
153.5500605,-28.16216451
153.550065,-28.16223351
153.550077,-28.16229751
153.5501105,-28.16235001
153.5501365,-28.16238101
153.550184,-28.16239551
153.550224,-28.16241301
153.5502625,-28.16246451
153.5502935,-28.16250951
153.5503555,-28.16256651
153.5503865,-28.16261651
153.550403,-28.16266401
153.5504005,-28.16272101
153.5503815,-28.16273301
153.5503575,-28.16271151
153.5503385,-28.16268801
153.550334,-28.16265701
153.550322,-28.16263551
153.550291,-28.16264051
153.550272,-28.16266401
153.5502385,-28.16270201
153.550208,-28.16272601
153.550191,-28.16275951
153.550191,-28.16279251
153.5502195,-28.16285201
153.55026,-28.16291401
153.550303,-28.16293801
153.550329,-28.16295451
153.5503435,-28.16299251
153.550348,-28.16304701
153.5503695,-28.16307101
153.5504195,-28.16307601
153.55046,-28.16308751
153.5505075,-28.16308301
153.550529,-28.16309001
153.550541,-28.16314001
153.550529,-28.16318501
153.550503,-28.16321601
153.5504695,-28.16323701
153.5504265,-28.16324951
153.550391,-28.16325401
153.5503555,-28.16328051
153.550298,-28.16329951
153.550265,-28.16329001
153.550246,-28.16326601
153.5502385,-28.16322351
153.550222,-28.16317551
153.55016,-28.16316151
153.5500865,-28.16317551
153.5500295,-28.16320901
153.5499915,-28.16326601
153.5499935,-28.16333301
153.5500125,-28.16339951
153.5500745,-28.16349201
153.5501315,-28.16353501
153.550189,-28.16355151
153.5502625,-28.16354001
153.550334,-28.16350901
153.550415,-28.16348751
153.550517,-28.16349201
153.5506385,-28.16352051
153.5508455,-28.16358501
153.5510285,-28.16366351
153.5511475,-28.16376351
153.551319,-28.16392751
153.551531,-28.16412751
153.551657,-28.16425851
153.551821,-28.16442251
153.551897,-28.16452001
153.5519065,-28.16453401
153.5518245,-28.16456901
153.5508695,-28.16497551
153.550686,-28.16505351
153.550534,-28.16511851
153.55036,-28.16519251
153.5501755,-28.16527101
153.5478505,-28.16626001
153.547574,-28.16637801
153.5452835,-28.16735201
153.5451305,-28.16741701
153.5450155,-28.16746601
153.5437495,-28.16800451
153.543491,-28.16811501
153.542168,-28.16868701
153.5419305,-28.16878901
153.541574,-28.16894151
153.5413925,-28.16906951
153.5412495,-28.16929751
153.5409405,-28.16978601
153.5407805,-28.17003951
153.540502,-28.17048501
153.5400925,-28.17113001
153.5399485,-28.17135751
153.539852,-28.17151051
153.5396455,-28.17183751
153.5395335,-28.17201551
153.5379355,-28.17364651
153.5377015,-28.17388551
153.536125,-28.17549401
153.535868,-28.17575651
153.535596,-28.17603401
153.535556,-28.17609501
153.535366,-28.17638301
153.535117,-28.17676051
153.53504,-28.17687751
153.534956,-28.17702101
153.5345945,-28.17763951
153.534549,-28.17759501
153.5341535,-28.17713051
153.5340665,-28.17702851
153.533867,-28.17685701
153.5336475,-28.17680001
153.533247,-28.17662301
153.5328255,-28.17645951
153.5322845,-28.17614401
153.531959,-28.17606751
153.5317405,-28.17598201
153.531146,-28.17574251
153.531164,-28.17524051
153.53077,-28.17508351
153.52971,-28.17466151
153.529408,-28.17454151
153.5279635,-28.17396101
153.5277255,-28.17386501
153.524616,-28.17261551
153.524401,-28.17252951
153.520444,-28.17093901
153.519752,-28.17066101
153.5141475,-28.16840751
153.503483,-28.16411451
153.5015425,-28.16333251
153.496866,-28.16144901
153.495655,-28.16096151
153.49552,-28.16090701
153.4953585,-28.16084201
153.495013,-28.16070401
153.485857,-28.15703551
153.484989,-28.15761251
153.4842545,-28.15780201
153.4839655,-28.15787651
153.483023,-28.15804051
153.4825775,-28.15831601
153.4815095,-28.15824401
153.481275,-28.15771301
153.480589,-28.15739001
153.480421,-28.15739951
153.480215,-28.15741051
153.479372,-28.15745601
153.4793485,-28.15745401
153.478757,-28.15748901
153.477438,-28.15693351
153.4769465,-28.15689201
153.476791,-28.15698051
153.476459,-28.15716951
153.476169,-28.15733451
153.4755795,-28.15767401
153.475295,-28.15783651
153.4751755,-28.15790551
153.474968,-28.15802401
153.4749535,-28.15808601
153.474943,-28.15813151
153.4748205,-28.15865651
153.4748165,-28.15867351
153.4747615,-28.15890951
153.4747085,-28.15913501
153.474646,-28.15940301
153.474607,-28.15957101
153.4743425,-28.15970351
153.4737015,-28.16002501
153.473704,-28.16010751
153.4737105,-28.16032401
153.4737175,-28.16054951
153.473722,-28.16068901
153.473573,-28.16081701
153.4734085,-28.16095851
153.4732585,-28.16108701
153.4731085,-28.16121601
153.472959,-28.16134451
153.472809,-28.16147351
153.472659,-28.16160201
153.472484,-28.16175251
153.4723705,-28.16174401
153.4721065,-28.16172401
153.4718985,-28.16170851
153.471727,-28.16169551
153.470796,-28.16162551
153.4707035,-28.16166351
153.47051,-28.16174401
153.4702685,-28.16182451
153.4699925,-28.16191651
153.469161,-28.16219401
153.4686425,-28.16236751
153.4684495,-28.16243651
153.4680065,-28.16294651
153.4677795,-28.16320801
153.4666985,-28.16445301
153.4660025,-28.16565251
153.46571,-28.16592251
153.465686,-28.16597101
153.4650615,-28.16723451
153.464894,-28.16757301
153.463096,-28.16952851
153.4629795,-28.16980851
153.462367,-28.17050601
153.4620975,-28.17081251
153.4620705,-28.17084351
153.4617955,-28.17099801
153.4616745,-28.17106351
153.4616675,-28.17107401
153.4608995,-28.17224301
153.4585755,-28.17496001
153.4585175,-28.17502801
153.458716,-28.17578501
153.459141,-28.17817751
153.4587505,-28.17849851
153.4579125,-28.17917751
153.457567,-28.17945751
153.4575545,-28.17946751
153.4570405,-28.18053001
153.4552335,-28.18122451
153.4526095,-28.18104701
153.4501665,-28.18185651
153.4494605,-28.18236651
153.4488025,-28.18284101
153.4482435,-28.18324451
